127.0.0.1 - - [11/Aug/2022:08:32:53 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:32:56 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:32:56 +0545] "GET /Bug_Tracking_System/style.css HTTP/1.1" 200 8834
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:32:56 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:33:32 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:33:33 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:34:13 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:34:13 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:34:14 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:34:14 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:34:14 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:37:55 +0545] "GET /Bug_Tracking_System/login HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:38:00 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:43:27 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:43:27 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:43:28 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:43:28 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:43:28 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:43:37 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:43:38 +0545] "GET /Bug_Tracking_System/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:43:38 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:44:29 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:44:30 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:44:31 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:44:37 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:44:38 +0545] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:47:49 +0545] "GET /Bug_Tracking_System/Login.html HTTP/1.1" 200 1104
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:52:44 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:52:46 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:52:47 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:52:47 +0545] "GET /Bug_Tracking_System/ HTTP/1.1" 200 3134
0:0:0:0:0:0:0:1 - - [11/Aug/2022:08:52:54 +0545] "GET /Bug_Tracking_System/Login.html HTTP/1.1" 304 -
